district_sp_code,district_sp
0001,A RASA
0002,AT PINHEIRO
0003,ANHANGUERA
0004,ARICANDUVA
0005,A ALVIM
0006,B FUNDA
0007,B VISTA
0008,BELEM
0009,B RETIRO
0010,BRAS
0011,BRASILANDIA
0012,BUTANTA
0013,CAMBUCI
0014,CPO BELO
0015,CPO GRANDE
0016,CPO LIMPO
0017,CANGAIBA
0018,C REDONDO
0019,CARRAO
0020,C VERDE
0021,C ADEMAR
0022,C DUTRA
0023,C LIDER
0024,C TIRADENTE
0025,CONSOLACAO
0026,CURSINO
0027,E MATARAZZO
0028,FREGUESIA D
0029,GRAJAU
0030,GUAIANAZES
0031,IGUATEMI
0032,IPIRANGA
0033,ITAIM BIBI
0034,ITAIM PAULI
0035,ITAQUERA
0036,JABAQUARA
0037,JACANA
0038,JAGUARA
0039,JAGUARE
0040,JARAGUA
0041,JD ANGELA
0042,JD HELENA
0043,JD PAULISTA
0044,J BONIFACIO
0045,LAJEADO
0046,LAPA
0047,LIBERDADE
0048,LIMAO
0049,MANDAQUI
0050,MARSILAC
0051,MOEMA
0052,MOOCA
0053,MORUMBI
0054,N CACHOEIRI
0055,PARELHEIROS
0056,PARI
0057,PRQ CARMO
0058,PEDREIRA
0059,PENHA
0060,PERDIZES
0061,PERUS
0062,PINHEIROS
0063,PIRITUBA
0064,PTE RASA
0065,R TAVARES
0066,REPUBLICA
0067,R PEQUENO
0068,SACOMA
0069,S CECILIA
0070,SANTANA
0071,S AMARO
0072,S DOMINGOS
0073,S LUCAS
0074,S LUIS
0075,S MATEUS
0076,S MIGUEL
0077,S RAFAEL
0078,SAPOPEMBA
0079,SAUDE
0080,SE
0081,SOCORRO
0082,TATUAPE
0083,TREMEMBE
0084,TUCURUVI
0085,VL ANDRADE
0086,VL CURUCA
0087,VL FORMOSA
0088,VL JACUI
0089,VL LEOPOLDI
0090,VL MARIA
0091,VL GUILHERM
0092,VL MARIANA
0093,VL MATILDE
0094,VL MEDEIROS
0095,VL PRUDENTE
0096,VL SONIA
9999,OUTROS SP
