legal_nature,legal_nature_code
POD EXEC FE,1015
POD EXEC ES,1023
POD EXEC MU,1031
POD LEG FED,1040
POD LEG EST,1058
POD LEG MUN,1066
POD JUD FED,1074
POD JUD EST,1082
AUTARQ FED,1104
AUTARQ EST,1112
AUTARQ MUN,1120
FUNDAC FED,1139
FUNDAC EST,1147
FUNDAC MUN,1155
ORG AUT FED,1163
ORG AUT EST,1171
ORG AUT MUN,1180
COM POLINAC,1198
FUNDO PUBLIC,1201
ASSOC PUBLIC,1210
EMP PUB,2011
SOC MISTA,2038
SA ABERTA,2046
SA FECH,2054
SOC QT LTDA,2062
SOC COLETV,2070
SOC COLETV07,2076
SOC COMD SM,2089
SOC COMD AC,2097
SOC CAP IND,2100
SOC CIVIL,2119
SOC CTA PAR,2127
FRM MER IND,2135
COOPERATIVA,2143
CONS EMPRES,2151
GRUP SOC,2160
FIL EMP EXT,2178
FIL ARG-BRA,2194
ENT ITAIPU,2208
EMP DOM EXT,2216
FUN INVEST,2224
SOC SIMP PUR,2232
SOC SIMP LTD,2240
SOC SIMP COL,2259
SOC SIMP COM,2267
EMPR BINAC,2275
CONS EMPREG,2283
CONS SIMPLES,2291
CARTORIO,3034
ORG SOCIAL,3042
OSCIP,3050
OUT FUND PR,3069
SERV SOC AU,3077
CONDOMIN,3085
UNID EXEC,3093
COM CONC,3107
ENT MED ARB,3115
PART POLIT,3123
ENT SOCIAL,3130
ENT SOCIAL07,3131
FIL FUN EXT,3204
FUN DOM EXT,3212
ORG RELIG,3220
COMUN INDIG,3239
FUNDO PRIVAD,3247
OUTR ORG,3999
EMP IND IMO,4014
SEG ESPEC,4022
CONTR IND,4080
CONTR IND07,4081
CAN CARG POL,4090
LEILOEIRO,4111
ORG INTERN,5002
ORG INTERNAC,5010
REPR DIPL ES,5029
OUT INST EXT,5037
IGNORADO,-1
