neighbourhood_fort,description,neighbourhood_fort_code
ALAGADICO,Alagadiço,1
ALAG NOVO,Alagadiço Novo,2
ALDEOTA,Aldeota,3
ALTO ALEGRE,Alto Alegre,4
ALTO BALANC,Alto da Balança,5
ALVARO WEYN,Alvaro Weyne,6
AMADEU FURT,Amadeu Furtado,7
ANT BEZERRA,Antonio Bezerra,8
ANT DIOGO,Antonio Diogo,9
BARRA CEARA,Barra do Ceara,10
BELA VISTA,Bela Vista,11
BENFICA,Benfica,12
BOM FUTURO,Bom Futuro,13
BOM JARDIM,Bom Jardim,14
BONSUCESSO,Bonsucesso,15
CACHOEIRINH,Cachoeirinha,16
CAJAZEIRAS,Cajazeiras,17
CAMBEBA,Cambeba,18
CASTELAO,Castelao,19
CENTRO,Centro,20
CIDADE FUNC,Cidade dos Funcionari,21
COCO,Coco,22
CONJ CEARA,Conjunto Ceara,23
C ESPERANCA,Conjunto Esperança,24
CR REDENTOR,Cristo Redentor,25
DAMAS,Damas,26
DEMOC ROCHA,Democrito Rocha,27
DIAS MACEDO,Dias Macedo,28
DION TORRES,Dionisio Torres,29
ED QUEIROZ,Edson Queiroz,30
FARIAS BRIT,Farias Brito,31
FATIMA,Fatima,32
GENIBAU,Genibau,33
GR PORTUGAL,Granja Portugal,34
HENR JORGE,Henrique Jorge,35
ITAPERI,Itaperi,36
JACARECANGA,Jacarecanga,37
JANGURUSSU,Jangurussu,38
J AMERICA,Jardim America,39
JOAQ TAVORA,Joaquim Tavora,40
JOQUEI CLUB,Joquei Clube,41
J BONIFACIO,Jose Bonifacio,42
LAG REDONDA,Lagoa Redonda,43
MAN SATIRO,Manuel Satiro,44
MARAPONGA,Maraponga,45
MEIRELES,Meireles,46
MESSEJANA,Messejana,47
MONDUBIM,Mondubim,48
M CASTELO,Monte Castelo,49
MONTESE,Montese,50
MOURA BRASI,Moura Brasil,51
MUCURIPE,Mucuripe,52
PAPICU,Papicu,53
PARANGABA,Parangaba,54
P PR VARGAS,Parque Presidente Var,55
P SAO JOSE,Parque Sao Jose,56
PARQUELANDI,Parquelandia,57
PASSARE,Passare,58
PICI,Pici,59
PR IRACEMA,Praia de Iracema,60
PF J WALTER,Prefeito Jose Walter,61
PRES T NEVE,Presidente Tancredo N,62
ROD TEOFILO,Rodolfo Teofilo,63
SERRINHA,Serrinha,64
TAUAPE,Tauape,65
VARJOTA,Varjota,66
VICEN PINZO,Vicente Pinzon,67
VILA ELLERY,Vila Ellery,68
VILA PERI,Vila Peri,69
VILA UNIAO,Vila União,70
VILA VELHA,Vila Velha,71
OUTROS CE,Outros Municípios do Ceará,99
FORA DO CE,Fora do Estado do Ceará,0
IGNORADO,Ignorado,-1
